Height,lat,lon,IIiii,RR
10690,27.78333333,119.2833333,K9180,19
10690,27.78333333,119.2833333,K9180,5
10690,27.78333333,119.2833333,K9180,20
10690,27.78333333,119.2833333,K9180,7
10660,27.6,119.4666667,K9306,30
10660,27.6,119.4666667,K9306,86
10660,27.6,119.4666667,K9306,97
10660,27.6,119.4666667,K9306,33
10660,27.6,119.4666667,K9306,10
10660,27.6,119.4666667,K9306,23
10660,27.6,119.4666667,K9306,5
10650,27.8,119.6,K9041,130
10650,27.8,119.6,K9041,85
10650,27.8,119.6,K9041,49
10650,27.8,119.6,K9041,15
10650,27.8,119.6,K9041,27
10650,27.8,119.6,K9041,14
10650,27.8,119.6,K9041,21
10380,28.43333333,119.2333333,K9285,0
10380,28.43333333,119.2333333,K9285,0
10380,28.43333333,119.2333333,K9285,0
10380,28.43333333,119.2333333,K9285,0
10380,28.43333333,119.2333333,K9285,0
10380,28.43333333,119.2333333,K9285,0
10380,28.43333333,119.2333333,K9285,0
10230,30.28333333,119.1,K1033,181
10230,30.28333333,119.1,K1033,145
10230,30.28333333,119.1,K1033,85
10230,30.28333333,119.1,K1033,122
10230,30.28333333,119.1,K1033,65
10230,30.28333333,119.1,K1033,206
10230,30.28333333,119.1,K1033,187
10220,27.68333333,119.45,K9182,45
10220,27.68333333,119.45,K9182,97
10220,27.68333333,119.45,K9182,61
10220,27.68333333,119.45,K9182,10
10220,27.68333333,119.45,K9182,4
10220,27.68333333,119.45,K9182,7
10220,27.68333333,119.45,K9182,4
10210,28.3,119.3,K9033,52
10210,28.3,119.3,K9033,59
10210,28.3,119.3,K9033,80
10210,28.3,119.3,K9033,9
10210,28.3,119.3,K9033,32
10210,28.3,119.3,K9033,44
10210,28.3,119.3,K9033,67
10026,28.43333333,119.1166667,K9361,71
10026,28.43333333,119.1166667,K9361,75
10026,28.43333333,119.1166667,K9361,96
10026,28.43333333,119.1166667,K9361,74
10026,28.43333333,119.1166667,K9361,102
10026,28.43333333,119.1166667,K9361,80
10026,28.43333333,119.1166667,K9361,78
9920,27.76666667,119.65,K9160,88
9920,27.76666667,119.65,K9160,91
9920,27.76666667,119.65,K9160,60
9920,27.76666667,119.65,K9160,58
9920,27.76666667,119.65,K9160,49
9920,27.76666667,119.65,K9160,32
9920,27.76666667,119.65,K9160,49
9902,27.45,119.15,K9260,38
9902,27.45,119.15,K9260,34
9902,27.45,119.15,K9260,54
9902,27.45,119.15,K9260,77
9902,27.45,119.15,K9260,65
9902,27.45,119.15,K9260,23
9902,27.45,119.15,K9260,61
9890,28.59833,120.82,K8270,222
9890,27.6,119.35,K9337,17
9890,28.59833,120.82,K8270,155
9890,27.6,119.35,K9337,51
9890,28.59833,120.82,K8270,194
9890,27.6,119.35,K9337,31
9890,28.59833,120.82,K8270,265
9890,27.6,119.35,K9337,34
9890,28.59833,120.82,K8270,353
9890,27.6,119.35,K9337,1
9890,28.59833,120.82,K8270,418
9890,27.6,119.35,K9337,8
9890,28.59833,120.82,K8270,500
9890,27.6,119.35,K9337,7
9800,28.68333333,120.2166667,K9026,276
9800,28.68333333,120.2166667,K9026,224
9800,28.68333333,120.2166667,K9026,227
9800,28.68333333,120.2166667,K9026,168
9800,28.68333333,120.2166667,K9026,156
9800,28.68333333,120.2166667,K9026,104
9800,28.68333333,120.2166667,K9026,120
9681,27.95,119.5333333,K9224,129
9681,27.95,119.5333333,K9224,118
9681,27.95,119.5333333,K9224,93
9681,27.95,119.5333333,K9224,35
9681,27.95,119.5333333,K9224,29
9681,27.95,119.5333333,K9224,18
9681,27.95,119.5333333,K9224,40
9680,28.71666667,119.0166667,K7426,69
9680,28.71666667,119.0166667,K7426,70
9680,28.71666667,119.0166667,K7426,117
9680,28.71666667,119.0166667,K7426,126
9680,28.71666667,119.0166667,K7426,103
9680,28.71666667,119.0166667,K7426,157
9680,28.71666667,119.0166667,K7426,135
9610,27.9,119.35,K9245,69
9610,27.9,119.35,K9245,73
9610,27.9,119.35,K9245,132
9610,27.9,119.35,K9245,44
9610,27.9,119.35,K9245,33
9610,27.9,119.35,K9245,8
9610,27.9,119.35,K9245,3
9510,29.25833,121.0914,K8703,137
9510,29.25833,121.0914,K8703,194
9510,29.25833,121.0914,K8703,425
9510,29.25833,121.0914,K8703,303
9510,29.25833,121.0914,K8703,198
9510,29.25833,121.0914,K8703,260
9510,29.25833,121.0914,K8703,180
9500,29.18333333,119.4333333,K6173,86
9500,29.18333333,119.4333333,K6173,107
9500,29.18333333,119.4333333,K6173,2
9500,29.18333333,119.4333333,K6173,48
9500,29.18333333,119.4333333,K6173,55
9500,29.18333333,119.4333333,K6173,36
9500,29.18333333,119.4333333,K6173,39
9470,27.5,119.2333333,K9290,10
9470,27.5,119.2333333,K9290,10
9470,27.5,119.2333333,K9290,38
9470,27.5,119.2333333,K9290,15
9470,27.5,119.2333333,K9290,3
9470,27.5,119.2333333,K9290,4
9470,27.5,119.2333333,K9290,11
9390,27.55,119.4333333,K9059,18
9390,27.55,119.4333333,K9059,70
9390,27.55,119.4333333,K9059,85
9390,27.55,119.4333333,K9059,35
9390,27.55,119.4333333,K9059,4
9390,27.55,119.4333333,K9059,5
9390,27.55,119.4333333,K9059,3
9310,29.36666667,121.1666667,K4901,120
9310,28.5,120.2666667,K9020,125
9310,29.36666667,121.1666667,K4901,190
9310,28.5,120.2666667,K9020,206
9310,29.36666667,121.1666667,K4901,249
9310,28.5,120.2666667,K9020,243
9310,29.36666667,121.1666667,K4901,347
9310,28.5,120.2666667,K9020,236
9310,29.36666667,121.1666667,K4901,357
9310,28.5,120.2666667,K9020,259
9310,29.36666667,121.1666667,K4901,332
9310,28.5,120.2666667,K9020,271
9310,29.36666667,121.1666667,K4901,270
9310,28.5,120.2666667,K9020,137
9270,27.51666667,120.1,K3110,18
9270,27.83333333,119.2666667,K9216,21
9270,27.51666667,120.1,K3110,12
9270,27.83333333,119.2666667,K9216,34
9270,27.51666667,120.1,K3110,19
9270,27.83333333,119.2666667,K9216,38
9270,27.51666667,120.1,K3110,12
