IIiii,lat,lon,RR
K1111,30.283333333333335,120.53333333333332,68.42857142857143
K1112,30.23333333333334,120.25,70.0
K1113,30.01666666666666,120.18333333333337,88.28571428571429
K1114,30.11666666666667,120.28333333333332,73.0
K1115,29.583333333333336,119.29999999999998,16.857142857142858
K1116,29.716666666666665,119.41666666666666,69.0
K1117,29.51666666666666,119.64999999999999,40.142857142857146
K1118,29.433333333333334,119.5,30.142857142857142
K1119,29.433333333333334,119.29999999999998,46.714285714285715
K1120,29.38333333333333,119.10000000000001,38.0
K1121,30.216666666666665,120.21666666666668,73.71428571428571
K1122,30.166666666666664,120.11666666666666,49.57142857142857
K1123,30.316666666666666,120.20000000000002,58.0
K1124,30.316666666666666,120.13333333333334,47.857142857142854
K1125,30.36666666666667,120.63333333333334,61.714285714285715
K1126,30.25,119.78333333333332,60.0
K1127,29.550000000000004,119.08333333333334,25.0
K1128,29.5,118.79999999999998,17.714285714285715
K1129,29.816666666666666,119.76666666666667,81.85714285714286
K1130,29.566666666666666,119.45000000000002,24.857142857142858
K1131,30.050000000000004,120.26666666666667,76.28571428571429
K1132,30.38333333333333,120.11666666666666,63.42857142857143
K1133,30.166666666666664,120.21666666666668,83.71428571428571
K1134,30.349999999999998,120.20000000000002,53.857142857142854
K1135,29.61666666666667,118.95000000000002,10.571428571428571
K1136,29.966666666666665,119.06666666666663,42.142857142857146
K1137,29.466666666666665,118.64999999999999,17.714285714285715
K1138,29.73333333333334,118.78333333333332,20.428571428571427
K1139,29.433333333333334,118.53333333333332,17.714285714285715
K1140,29.86666666666667,119.03333333333332,20.571428571428573
K1141,29.533333333333335,118.96666666666668,20.714285714285715
K1142,29.73333333333334,119.03333333333332,27.0
K1143,29.650000000000002,119.21666666666668,38.42857142857143
K1144,29.416666666666664,118.83333333333334,55.57142857142857
K1145,29.683333333333334,119.11666666666666,28.857142857142858
K1146,30.316666666666666,119.45000000000002,37.857142857142854
K1147,30.033333333333335,118.98333333333333,63.714285714285715
K1148,30.333333333333336,119.39999999999999,44.714285714285715
K1149,30.11666666666667,120.06666666666663,67.71428571428571
K1150,30.38333333333333,120.20000000000002,62.857142857142854
K1151,30.25,120.10000000000001,54.0
K1152,30.25,120.11666666666666,57.142857142857146
K1153,30.333333333333336,120.33333333333334,75.0
K1154,30.300000000000004,120.16666666666666,55.857142857142854
K1155,30.316666666666666,120.16666666666666,57.42857142857143
K1156,30.166666666666664,119.11666666666666,25.714285714285715
K1157,30.199999999999996,120.01666666666667,87.14285714285714
K1158,30.199999999999996,120.04999999999998,70.85714285714286
K1159,30.349999999999998,120.36666666666666,29.428571428571427
K1160,30.150000000000002,120.08333333333334,74.85714285714286
K1161,30.183333333333334,120.13333333333334,78.14285714285714
K1162,30.13333333333333,120.01666666666667,63.57142857142857
K1163,30.316666666666666,120.23333333333333,68.28571428571429
K1164,30.349999999999998,120.25,58.857142857142854
K1165,30.300000000000004,120.18333333333337,62.42857142857143
K1166,30.316666666666666,120.08333333333334,66.0
K1167,30.23333333333334,120.18333333333337,68.14285714285714
K1168,30.216666666666665,120.01666666666667,79.71428571428571
K1169,30.150000000000002,120.01666666666667,68.85714285714286
K1170,30.099999999999998,120.06666666666663,67.28571428571429
K1171,30.199999999999996,120.18333333333337,70.42857142857143
K1172,30.26666666666666,120.33333333333334,64.14285714285714
K1173,30.333333333333336,120.08333333333334,67.57142857142857
K1174,30.166666666666664,120.18333333333337,96.28571428571429
K1175,30.183333333333334,120.21666666666668,59.714285714285715
K1176,30.11666666666667,120.11666666666666,79.42857142857143
K1177,30.349999999999998,120.03333333333332,46.0
K1178,30.283333333333335,120.29999999999998,66.42857142857143
K1179,30.283333333333335,120.38333333333334,61.57142857142857
K1180,30.283333333333335,120.23333333333333,59.857142857142854
K1181,30.300000000000004,120.28333333333332,66.0
K1182,30.36666666666667,120.23333333333333,55.857142857142854
K1183,30.26666666666666,120.14999999999999,0.0
K1184,30.23333333333334,120.16666666666666,62.42857142857143
K1193,30.550000000000004,119.70000000000002,45.285714285714285
K1194,30.433333333333334,119.71666666666668,41.42857142857143
K1195,30.449999999999996,119.81666666666663,49.42857142857143
K1196,30.38333333333333,119.86666666666666,69.28571428571429
K1197,30.416666666666664,120.13333333333334,58.285714285714285
K1198,30.400000000000002,119.79999999999998,57.57142857142857
K1199,30.333333333333336,119.91666666666666,54.57142857142857
K1200,30.300000000000004,119.98333333333333,71.14285714285714
K1201,30.216666666666665,119.88333333333334,73.42857142857143
K1202,30.25,120.0,62.857142857142854
