,Height,lat,lon,IIiii,RR
15603,3750,27.83333333,119.9333333,K3155,7
15760,3750,28.2,120.6,K3315,56
18521,3750,27.83333333,119.9333333,K3155,3
18677,3750,28.2,120.6,K3315,38
845,3740,28.21666667,120.4333333,K3049,15
2140,3740,29.31666667,118.8666667,K7422,54
3776,3740,28.21666667,120.4333333,K3049,36
5072,3740,29.31666667,118.8666667,K7422,52
6707,3740,28.21666667,120.4333333,K3049,21
8012,3740,29.31666667,118.8666667,K7422,73
9648,3740,28.21666667,120.4333333,K3049,59
10945,3740,29.31666667,118.8666667,K7422,33
12579,3740,28.21666667,120.4333333,K3049,28
13872,3740,29.31666667,118.8666667,K7422,64
15504,3740,28.21666667,120.4333333,K3049,53
16793,3740,29.31666667,118.8666667,K7422,195
18424,3740,28.21666667,120.4333333,K3049,36
19721,3740,29.31666667,118.8666667,K7422,71
1912,3730,29.06666667,119.8833333,K6203,68
4845,3730,29.06666667,119.8833333,K6203,20
7785,3730,29.06666667,119.8833333,K6203,14
10717,3730,29.06666667,119.8833333,K6203,23
13644,3730,29.06666667,119.8833333,K6203,55
16566,3730,29.06666667,119.8833333,K6203,24
19493,3730,29.06666667,119.8833333,K6203,15
2528,3726,27.61666667,119.0666667,K9045,17
5459,3726,27.61666667,119.0666667,K9045,6
8399,3726,27.61666667,119.0666667,K9045,7
11332,3726,27.61666667,119.0666667,K9045,12
14257,3726,27.61666667,119.0666667,K9045,20
17178,3726,27.61666667,119.0666667,K9045,2
20105,3726,27.61666667,119.0666667,K9045,21
895,3710,28.4,120.65,K3103,93
3827,3710,28.4,120.65,K3103,87
6758,3710,28.4,120.65,K3103,72
9699,3710,28.4,120.65,K3103,87
12629,3710,28.4,120.65,K3103,181
15553,3710,28.4,120.65,K3103,222
18472,3710,28.4,120.65,K3103,141
1465,3700,29.31666667,120.5333333,K4846,58
4397,3700,29.31666667,120.5333333,K4846,118
7337,3700,29.31666667,120.5333333,K4846,218
10269,3700,29.31666667,120.5333333,K4846,184
13196,3700,29.31666667,120.5333333,K4846,179
16119,3700,29.31666667,120.5333333,K4846,141
19045,3700,29.31666667,120.5333333,K4846,123
1821,3670,28.95,120.6,K6100,162
2550,3670,28.03333333,119.8,K9067,44
4754,3670,28.95,120.6,K6100,179
5481,3670,28.03333333,119.8,K9067,18
7694,3670,28.95,120.6,K6100,206
8421,3670,28.03333333,119.8,K9067,26
10626,3670,28.95,120.6,K6100,185
11354,3670,28.03333333,119.8,K9067,22
13553,3670,28.95,120.6,K6100,170
14279,3670,28.03333333,119.8,K9067,43
16476,3670,28.95,120.6,K6100,248
17200,3670,28.03333333,119.8,K9067,59
19402,3670,28.95,120.6,K6100,309
20127,3670,28.03333333,119.8,K9067,44
1842,3660,28.95,120.3833333,K6121,138
4775,3660,28.95,120.3833333,K6121,73
7715,3660,28.95,120.3833333,K6121,67
10647,3660,28.95,120.3833333,K6121,98
13574,3660,28.95,120.3833333,K6121,62
16497,3660,28.95,120.3833333,K6121,79
19423,3660,28.95,120.3833333,K6121,107
1007,3652,27.6,119.75,K3215,22
3939,3652,27.6,119.75,K3215,1
6870,3652,27.6,119.75,K3215,0
9811,3652,27.6,119.75,K3215,0
12739,3652,27.6,119.75,K3215,0
15663,3652,27.6,119.75,K3215,1
18581,3652,27.6,119.75,K3215,0
701,3630,29.53333333,121.2333333,K2732,51
2632,3630,28.05,119.55,K9154,86
3632,3630,29.53333333,121.2333333,K2732,143
5563,3630,28.05,119.55,K9154,32
6563,3630,29.53333333,121.2333333,K2732,135
8503,3630,28.05,119.55,K9154,5
9505,3630,29.53333333,121.2333333,K2732,113
11436,3630,28.05,119.55,K9154,3
12437,3630,29.53333333,121.2333333,K2732,95
14361,3630,28.05,119.55,K9154,15
15363,3630,29.53333333,121.2333333,K2732,114
17280,3630,28.05,119.55,K9154,11
18283,3630,29.53333333,121.2333333,K2732,151
20208,3630,28.05,119.55,K9154,20
694,3620,29.45,121.2333333,K2724,79
756,3620,29.23333333,121.25,K2854,161
3625,3620,29.45,121.2333333,K2724,231
3687,3620,29.23333333,121.25,K2854,173
6556,3620,29.45,121.2333333,K2724,274
6618,3620,29.23333333,121.25,K2854,346
9498,3620,29.45,121.2333333,K2724,181
9559,3620,29.23333333,121.25,K2854,333
12430,3620,29.45,121.2333333,K2724,152
12491,3620,29.23333333,121.25,K2854,229
15356,3620,29.45,121.2333333,K2724,220
15417,3620,29.23333333,121.25,K2854,258
18276,3620,29.45,121.2333333,K2724,232
18337,3620,29.23333333,121.25,K2854,128
1799,3610,28.9,120.4166667,K6078,99
2795,3610,27.85,119.4333333,K9347,27
4732,3610,28.9,120.4166667,K6078,72
5726,3610,27.85,119.4333333,K9347,54
7672,3610,28.9,120.4166667,K6078,37
8666,3610,27.85,119.4333333,K9347,46
10604,3610,28.9,120.4166667,K6078,55
11599,3610,27.85,119.4333333,K9347,13
13531,3610,28.9,120.4166667,K6078,35
14524,3610,27.85,119.4333333,K9347,4
16454,3610,28.9,120.4166667,K6078,41
17443,3610,27.85,119.4333333,K9347,3
19380,3610,28.9,120.4166667,K6078,41
20371,3610,27.85,119.4333333,K9347,1
1275,3600,29.73333333,120.5666667,K4090,253
1843,3600,28.86666667,120.4333333,K6122,51
2647,3600,28.51666667,119.1,K9169,38
4207,3600,29.73333333,120.5666667,K4090,60
4776,3600,28.86666667,120.4333333,K6122,111
5578,3600,28.51666667,119.1,K9169,48
7147,3600,29.73333333,120.5666667,K4090,21
7716,3600,28.86666667,120.4333333,K6122,193
8518,3600,28.51666667,119.1,K9169,73
10079,3600,29.73333333,120.5666667,K4090,66
10648,3600,28.86666667,120.4333333,K6122,211
11451,3600,28.51666667,119.1,K9169,102
13006,3600,29.73333333,120.5666667,K4090,65
13575,3600,28.86666667,120.4333333,K6122,137
14376,3600,28.51666667,119.1,K9169,45
15929,3600,29.73333333,120.5666667,K4090,77
