IIiii,Height,lat,lon,RR,RR_Totle,Z,,
K8803,60,29.16195,121.5706,148.4285714,103.9,6,,
K2640,2500,29.86666667,121.0666667,148.1428571,103.7,250,,
58761,830,28,121.2333333,148,103.6,83,,
K8770,2350,29.28889,120.915,148,103.6,235,,
K2449,320,29.83333333,121.2666667,147.7142857,103.4,32,,
K2933,280,29.16666667,121.8833333,147,102.9,28,,
K8406,60,28.4475,121.3258,147,102.9,6,,
K8414,4080,28.49917,121.2019,147,102.9,408,,
K2862,180,29.3,121.65,146.8571429,102.8,18,,
K8719,630,29.12,121.1022,146.8571429,102.8,63,,
K8829,720,29.05445,121.2419,146.4285714,102.5,72,,
K4846,3700,29.31666667,120.5333333,145.8571429,102.1,370,,
K8623,840,28.98,120.9153,145.7142857,102,84,,
K4804,1380,29.46666667,121.1333333,145.4285714,101.8,138,,
K2929,570,29.35,121.85,145.2857143,101.7,57,,
K1683,2900,29.78333333,119.8666667,144.5714286,101.2,290,,
K8809,220,28.92083,121.4714,144.4285714,101.1,22,,
K2831,40,29.26666667,121.5666667,143.4285714,100.4,4,,
K2930,150,29.56666667,121.9166667,142.8571429,100,15,,
58563,60,29.88333333,121.8333333,142,99.4,6,,
K2859,790,29.36666667,121.4,142,99.4,79,,
K6125,8500,28.91666667,120.5666667,142,99.4,850,,
K1033,10230,30.28333333,119.1,141.5714286,99.1,1023,,
K4676,3300,29.62,121.08,141.1428571,98.8,330,,
K2932,154,29.31666667,121.8,141,98.7,15.4,,
K6080,5450,29,120.5666667,141,98.7,545,,
K8404,30,28.37111,121.5664,141,98.7,3,,
K2621,1390,29.88333333,121.2,140.8571429,98.6,139,,
K2814,6770,29.38333333,121.6,140.5714286,98.4,677,,
K8422,100,28.48222,121.3236,140.4285714,98.3,10,,
K8411,280,28.38389,121.3003,140.2857143,98.2,28,,
K3349,910,27.97389,121.1253,140.1428571,98.1,91,,
K2841,720,29.33333333,121.5833333,139.5714286,97.7,72,,
K9027,8720,28.56666667,120.2666667,139.4285714,97.6,872,,
